event_id,config_pt50_eta-4.0_4.0_neutralsTrue_secondariesTrue,config_pt50_eta-4.0_4.0_neutralsTrue_secondariesFalse,config_pt50_eta-4.0_4.0_neutralsFalse_secondariesTrue,config_pt50_eta-4.0_4.0_neutralsFalse_secondariesFalse,config_pt50_eta-3.0_3.0_neutralsTrue_secondariesTrue,config_pt50_eta-3.0_3.0_neutralsTrue_secondariesFalse,config_pt50_eta-3.0_3.0_neutralsFalse_secondariesTrue,config_pt50_eta-3.0_3.0_neutralsFalse_secondariesFalse,config_pt100_eta-4.0_4.0_neutralsTrue_secondariesTrue,config_pt100_eta-4.0_4.0_neutralsTrue_secondariesFalse,config_pt100_eta-4.0_4.0_neutralsFalse_secondariesTrue,config_pt100_eta-4.0_4.0_neutralsFalse_secondariesFalse,config_pt100_eta-3.0_3.0_neutralsTrue_secondariesTrue,config_pt100_eta-3.0_3.0_neutralsTrue_secondariesFalse,config_pt100_eta-3.0_3.0_neutralsFalse_secondariesTrue,config_pt100_eta-3.0_3.0_neutralsFalse_secondariesFalse,config_pt150_eta-4.0_4.0_neutralsTrue_secondariesTrue,config_pt150_eta-4.0_4.0_neutralsTrue_secondariesFalse,config_pt150_eta-4.0_4.0_neutralsFalse_secondariesTrue,config_pt150_eta-4.0_4.0_neutralsFalse_secondariesFalse,config_pt150_eta-3.0_3.0_neutralsTrue_secondariesTrue,config_pt150_eta-3.0_3.0_neutralsTrue_secondariesFalse,config_pt150_eta-3.0_3.0_neutralsFalse_secondariesTrue,config_pt150_eta-3.0_3.0_neutralsFalse_secondariesFalse,config_pt200_eta-4.0_4.0_neutralsTrue_secondariesTrue,config_pt200_eta-4.0_4.0_neutralsTrue_secondariesFalse,config_pt200_eta-4.0_4.0_neutralsFalse_secondariesTrue,config_pt200_eta-4.0_4.0_neutralsFalse_secondariesFalse,config_pt200_eta-3.0_3.0_neutralsTrue_secondariesTrue,config_pt200_eta-3.0_3.0_neutralsTrue_secondariesFalse,config_pt200_eta-3.0_3.0_neutralsFalse_secondariesTrue,config_pt200_eta-3.0_3.0_neutralsFalse_secondariesFalse
65,585165,158058,158547,79655,460570,136211,131011,68016,533647,140378,149351,77191,416311,121076,124234,66265,468629,126473,137082,73666,382599,108480,115586,62937,419919,109556,124861,66500,329864,95369,104932,58181
66,683156,187247,186869,95466,557114,161011,157996,81476,622379,167204,177815,93230,488052,145012,148014,80369,556297,148393,159955,87339,446558,126473,137998,73684,505937,129916,150164,80144,408077,112393,126545,69417
67,585165,158058,158547,79655,460570,136211,131011,68016,533647,140378,149351,77191,416311,121076,124234,66265,468629,126473,137082,73666,382599,108480,115586,62937,419919,109556,124861,66500,329864,95369,104932,58181
68,644970,183956,181576,93617,519197,159451,152433,80387,583140,163136,170962,90514,474988,141307,145230,77943,526959,144978,160247,85647,431451,126170,135587,74790,475919,128438,144966,79060,388470,111733,125200,68934
69,585165,158058,158547,79655,460570,136211,131011,68016,533647,140378,149351,77191,416311,121076,124234,66265,468629,126473,137082,73666,382599,108480,115586,62937,419919,109556,124861,66500,329864,95369,104932,58181
70,644970,183956,181576,93617,519197,159451,152433,80387,583140,163136,170962,90514,474988,141307,145230,77943,526959,144978,160247,85647,431451,126170,135587,74790,475919,128438,144966,79060,388470,111733,125200,68934
71,884733,244400,244915,124698,698208,213314,206548,108512,803035,221759,231855,122331,665216,191998,200702,106595,733384,196272,217102,115013,587925,171483,184519,100869,664491,172211,199024,105028,531465,150328,169787,92445
72,644970,183956,181576,93617,519197,159451,152433,80387,583140,163136,170962,90514,474988,141307,145230,77943,526959,144978,160247,85647,431451,126170,135587,74790,475919,128438,144966,79060,388470,111733,125200,68934
73,884733,244400,244915,124698,698208,213314,206548,108512,803035,221759,231855,122331,665216,191998,200702,106595,733384,196272,217102,115013,587925,171483,184519,100869,664491,172211,199024,105028,531465,150328,169787,92445
74,645562,174434,176213,90449,502970,151693,146820,78168,591675,154507,166818,86710,464606,134841,140042,75356,534539,137663,156944,82505,410561,119287,127861,71386,476850,119889,140985,74851,372263,104712,118197,66100
75,884733,244400,244915,124698,698208,213314,206548,108512,803035,221759,231855,122331,665216,191998,200702,106595,733384,196272,217102,115013,587925,171483,184519,100869,664491,172211,199024,105028,531465,150328,169787,92445
76,645562,174434,176213,90449,502970,151693,146820,78168,591675,154507,166818,86710,464606,134841,140042,75356,534539,137663,156944,82505,410561,119287,127861,71386,476850,119889,140985,74851,372263,104712,118197,66100
77,670554,185749,185259,94173,535357,162582,153753,81881,609114,166161,175204,91767,488214,145753,147559,80395,527457,148485,158485,87334,447694,129217,138036,75352,490942,128473,146387,78751,398501,113158,123876,69364
78,645562,174434,176213,90449,502970,151693,146820,78168,591675,154507,166818,86710,464606,134841,140042,75356,534539,137663,156944,82505,410561,119287,127861,71386,476850,119889,140985,74851,372263,104712,118197,66100
79,670554,185749,185259,94173,535357,162582,153753,81881,609114,166161,175204,91767,488214,145753,147559,80395,527457,148485,158485,87334,447694,129217,138036,75352,490942,128473,146387,78751,398501,113158,123876,69364
80,703747,192241,193536,98845,552303,165613,162036,84315,624252,173477,180476,96064,504173,149501,154553,83102,582422,154202,171151,90761,456464,133845,143653,78798,524561,135967,157048,83792,396932,118993,128122,73080
81,670554,185749,185259,94173,535357,162582,153753,81881,609114,166161,175204,91767,488214,145753,147559,80395,527457,148485,158485,87334,447694,129217,138036,75352,490942,128473,146387,78751,398501,113158,123876,69364
82,703747,192241,193536,98845,552303,165613,162036,84315,624252,173477,180476,96064,504173,149501,154553,83102,582422,154202,171151,90761,456464,133845,143653,78798,524561,135967,157048,83792,396932,118993,128122,73080
83,745977,216808,209079,109945,601712,184834,177809,93430,698930,193000,202259,105395,547833,165798,168394,91185,627878,172349,185533,100596,501409,147628,155545,86200,562125,150546,171459,92012,436126,128782,142579,78979
